"size","time","it","mean","variance","median"
1e+05,0.798732280731201,1,22.18085,6088162.52954856,1
1e+06,3.23147535324097,1,13.137206,485301.351551864,2
1e+07,40.1475999355316,1,19.2971230999999,43383185.51395,2
100,0.0480642318725586,2,20.11,25504.0988888889,1
1000,0.0548532009124756,2,4.844,498.820484484484,1
10000,0.0936641693115234,2,9.0705,11635.9587256226,1
1e+05,0.540364980697632,2,10.84329,71149.4251262272,2
1e+06,5.59451627731323,2,22.5064939999999,79729913.5545385,1
1e+07,48.0298643112183,2,20.1730818999998,206529636.991679,1
100,0.0425064563751221,3,6.26,191.244848484848,2
1000,0.0618059635162354,3,7.055,1020.25422922923,1
10000,0.110730886459351,3,10.303,73284.2622172217,2
1e+05,0.367343187332153,3,11.33109,90063.1156605684,2
1e+06,7.49273324012756,3,18.889081,14066049.4817195,1
1e+07,36.6468188762665,3,15.8702349,18149248.4676197,2
100,0.0433816909790039,4,5.42,175.882424242424,2
1000,0.0591986179351807,4,6.386,624.233237237237,2
10000,0.0915589332580566,4,7.514,6682.3098349835,2
1e+05,0.588263273239136,4,13.6251,362304.934859338,2
1e+06,5.3587474822998,4,17.234406,6335102.89017871,1
1e+07,38.5969076156616,4,17.0707221,14429140.481948,2
100,0.042381763458252,5,3.93,67.4394949494949,1
1000,0.0614104270935059,5,5.858,1035.91374974975,1.5
10000,0.0937776565551758,5,12.5469,186534.425642954,1
1e+05,0.371857881546021,5,10.92332,91497.0483306609,1
1e+06,5.13267827033997,5,18.166809,8165250.14553792,1
1e+07,34.1139452457428,5,15.1247141000001,4140078.7702983,2
100,0.0419483184814453,6,3.01,13.9493939393939,1
1000,0.0647373199462891,6,12.892,65191.1354714715,1
10000,0.0909132957458496,6,9.6401,11552.6102330133,1
1e+05,0.861616849899292,6,13.07118,340235.782871236,2
1e+06,3.17335319519043,6,13.432721,625503.335394873,2
1e+07,34.8903801441193,6,16.1214740000001,29843256.5728813,2
100,0.0425553321838379,7,9.66,2547.5802020202,1
1000,0.0628058910369873,7,8.783,7233.76167267267,1
10000,0.0960538387298584,7,9.9509,22273.9926884588,2
1e+05,0.720667123794556,7,15.57298,1201183.07472467,1
1e+06,3.25699782371521,7,14.205196,1711041.13129574,2
1e+07,31.9573364257812,7,14.6234227,4270523.37499542,2
100,0.0427165031433105,8,12.16,1350.98424242424,2
1000,0.0607984066009521,8,6.262,1084.10946546547,2
10000,0.088226318359375,8,8.1701,6928.55302129213,2
1e+05,0.905094385147095,8,25.28062,7457593.40912651,2
1e+06,7.08722257614136,8,31.509818,345613332.837667,2
1e+07,37.5180377960205,8,17.2818503000001,29648600.9163083,2
100,0.0473928451538086,9,6.09,172.042323232323,2
1000,0.0531086921691895,9,10.031,3690.3603993994,2
10000,0.0920009613037109,9,9.179,11710.8352425243,1
1e+05,0.608943700790405,9,14.5447,649155.66203853,2
1e+06,3.62774705886841,9,15.463629,1857105.09368823,2
1e+07,51.1064283847809,9,25.3750329999998,1142090764.90955,1
100,0.0463485717773438,10,23.52,30344.3329292929,1
1000,0.0595297813415527,10,7,1388.91491491492,2
10000,0.085097074508667,10,9.0898,13037.1524512051,2
1e+05,0.40167498588562,10,13.2708,277915.399901359,1
1e+06,5.28866362571716,10,18.204504,24596615.4836634,1
1e+07,33.9875280857086,10,15.8322895,10721655.2441617,1
100,0.0420975685119629,11,7.18,648.452121212121,1
1000,0.0537903308868408,11,6.026,591.522846846847,2
10000,0.0869929790496826,11,8.5893,6528.73669917992,1
1e+05,0.602300882339478,11,12.85886,314921.52801478,1
1e+06,3.40705060958862,11,14.305131,1508829.04052712,2
1e+07,56.1651091575623,11,27.7866829999999,499437018.711522,2
100,0.0427834987640381,12,4.46,87.3014141414141,2
1000,0.063239574432373,12,11.871,51307.3857447447,1
10000,0.120988845825195,12,13.2323,60939.836120322,2
1e+05,1.01070117950439,12,14.64553,780811.909320113,2
1e+06,3.08516788482666,12,12.749798,1029269.30841626,1
1e+07,41.8676717281342,12,17.4667595000001,45884784.5317374,2
100,0.0461893081665039,13,5.19,233.468585858586,1
1000,0.0567617416381836,13,4.706,178.904468468468,2
10000,0.120314121246338,13,20.2386,902078.393709411,1
1e+05,0.464246273040771,13,11.66792,109462.065863532,1
1e+06,5.17694187164307,13,14.732622,3237502.34588937,1
1e+07,49.7672381401062,13,24.2855188999999,246911919.209832,1
100,0.0455470085144043,14,3.51,34.7574747474747,2
1000,0.0585410594940186,14,7.333,1412.04215315315,2
10000,0.388551235198975,14,111.9385,98090167.5340712,1
1e+05,4.91253566741943,14,143.15102,1736068989.86313,2
1e+06,8.11468076705933,14,18.777491,14549582.0072428,2
1e+07,42.2293639183044,14,21.7575149999997,296334666.780073,1
100,0.0452203750610352,15,8.43,489.782929292929,1.5
1000,0.0603129863739014,15,7.189,1378.02930830831,1
10000,0.111474752426147,15,10.0761,46590.808989689,2
1e+05,0.434698104858398,15,15.46208,375539.529517368,1
1e+06,3.20606446266174,15,13.474749,1224044.69394908,1
1e+07,34.9968900680542,15,16.5399714000001,30816634.1097887,2
100,0.0462009906768799,16,4.41,54.9312121212121,1.5
1000,0.0573201179504395,16,5.107,341.745296296296,1
10000,0.111640930175781,16,18.9282,915036.650309791,2
1e+05,0.665836095809937,16,12.99774,298584.207456967,2
1e+06,5.37482070922852,16,20.031058,27429269.4774033,1
1e+07,40.1340284347534,16,20.5902615999999,98317097.5390263,1
100,0.045910120010376,17,3.56,41.8448484848485,1
1000,0.0599231719970703,17,6.28,582.075675675676,1
10000,0.0869662761688232,17,9.8049,13397.3083668267,2
1e+05,0.674845218658447,17,17.87694,2726573.45855082,2
1e+06,4.92622756958008,17,17.979036,31183365.5284282,1
1e+07,37.4921536445618,17,16.8136277,22691248.3753546,2
100,0.0439298152923584,18,6.37,360.700101010101,1
1000,0.0688400268554688,18,12.115,22308.9146896897,1
10000,0.133195161819458,18,20.2135,845407.307048455,1
1e+05,0.988048076629639,18,13.52197,467872.334340663,2
1e+06,5.38528156280518,18,13.955213,2282988.42475956,1
1e+07,33.5750567913055,18,16.6826929000001,42049250.8773168,1
100,0.0420472621917725,19,5.93,243.459696969697,2
1000,0.0607509613037109,19,6.22,383.543143143143,1
10000,0.11261510848999,19,12.4981,160734.879284318,2
1e+05,0.659020185470581,19,15.28137,898463.374534668,2
1e+06,5.51795029640198,19,19.705986,44449670.4308408,1
1e+07,39.0344536304474,19,16.0296702,9519486.90370357,1
100,0.0425214767456055,20,4.65,114.734848484848,1
1000,0.0584475994110107,20,5.994,429.559523523524,1
10000,0.111023902893066,20,10.8278,116533.57310447,1
1e+05,0.365420341491699,20,11.07873,136970.006791655,1
1e+06,11.8556196689606,20,48.510155,1056207487.39204,2
1e+07,33.2193939685822,20,17.4035492999999,25954250.0063549,1
100,0.0418033599853516,21,5.97,353.908181818182,1.5
1000,0.0606639385223389,21,7.505,2482.36433933934,1
10000,0.0849525928497314,21,9.5376,9136.89427566757,1
1e+05,0.335785388946533,21,10.00327,41728.0439597467,2
1e+06,3.46980261802673,21,13.205013,827162.493901161,2
1e+07,41.9716784954071,21,20.3978818000003,102585578.495239,1
100,0.0440530776977539,22,8.98,1086.26222222222,1.5
1000,0.0859355926513672,22,74.811,4401589.27054955,1
10000,0.0809204578399658,22,9.4647,9381.41669557956,2
1e+05,0.898135662078857,22,17.05758,1533859.29451749,1
1e+06,3.22024893760681,22,15.29601,2240498.10360219,1
1e+07,33.4421825408936,22,16.887912,19494515.9622624,1
100,0.0418715476989746,23,7.89,716.119090909091,1
1000,0.0638961791992188,23,7.526,2144.78611011011,2
10000,0.139051675796509,23,9.5126,19852.1544566857,2
1e+05,5.22351813316345,23,35.37343,27341616.5687457,2
1e+06,5.61397957801819,23,17.481773,11852649.3016829,1
1e+07,35.6141927242279,23,17.0555777,24330805.8195072,1
100,0.0419678688049316,24,12.77,3520.36070707071,1
1000,0.0585165023803711,24,7.327,1329.67774874875,2
10000,0.089914083480835,24,12.3401,118606.081440134,1
1e+05,0.580250978469849,24,12.26743,356049.805809253,1
1e+06,2.88314390182495,24,12.120379,261672.402104297,1
1e+07,33.3939363956451,24,15.0599327,2973557.86518024,1
100,0.0427091121673584,25,6.8,527.313131313131,2
1000,0.0573692321777344,25,6.951,1046.93153053053,1
10000,0.0837769508361816,25,7.7462,5100.87647320732,1
1e+05,4.99974870681763,25,39.8367,41625275.2537257,2
1e+06,5.90155410766602,25,20.848541,42585654.6195619,1
1e+07,46.0956945419312,25,23.1803668999999,278840722.663889,1
100,0.0419192314147949,26,3.72,25.0925252525253,2
1000,0.0769734382629395,26,8.944,3187.89876276276,1
10000,0.102622270584106,26,10.1861,25108.3903058206,1
1e+05,0.367000102996826,26,10.06892,52198.2627326609,1
1e+06,2.98858261108398,26,13.255875,1360121.8048008,1
1e+07,34.580037355423,26,16.0465491,14753125.4943864,2
100,0.0445389747619629,27,14.81,7885.85242424242,2
1000,0.0607380867004395,27,5.59,317.545445445445,2
10000,0.121790647506714,27,12.9702,162816.623374297,1
1e+05,0.299110889434814,27,9.7207,81026.9774412844,2
1e+06,5.37946462631226,27,14.969167,2465818.89000521,1
1e+07,33.339292049408,27,16.4736003000001,40397631.3240006,2
100,0.0424976348876953,28,9.05,1118.12878787879,1
1000,0.0500555038452148,28,5.787,251.371002002002,1
10000,0.0968961715698242,28,10.3515,30695.818329583,1
1e+05,0.829882144927979,28,16.20421,1435936.46987298,2
1e+06,7.66348743438721,28,15.653782,4589818.02298713,2
1e+07,37.6205308437347,28,18.2476726,39562939.2418198,1
100,0.0418305397033691,29,14.7,9543.56565656566,2
1000,0.0543458461761475,29,7.749,3109.03503403403,2
10000,0.0967278480529785,29,9.919,36081.9428332833,2
1e+05,0.684536695480347,29,20.94119,5670083.14114279,1
1e+06,5.20325469970703,29,15.06965,3465151.18271208,2
1e+07,33.1416041851044,29,15.8619544,15309561.9410161,2
100,0.0427780151367188,30,5.19,230.822121212121,1
1000,0.0601105690002441,30,5.53,514.315415415415,1
10000,0.102811813354492,30,8.1858,4531.37201556156,1
1e+05,0.602344751358032,30,12.7295,226617.164121391,2
1e+06,3.13687133789062,30,13.556447,1377004.40204414,2
1e+07,36.9942889213562,30,15.6966428,5407787.74867852,1
100,0.043532133102417,1,4.99,159.888787878788,2
1000,0.0551867485046387,1,8.984,4479.00875275275,1
10000,0.103806734085083,1,9.7892,30194.6418275428,1
1e+05,0.798732280731201,1,22.18085,6088162.52954856,1
1e+06,3.23147535324097,1,13.137206,485301.351551864,2
1e+07,40.1475999355316,1,19.2971230999999,43383185.51395,2
100,0.0480642318725586,2,20.11,25504.0988888889,1
1000,0.0548532009124756,2,4.844,498.820484484484,1
10000,0.0936641693115234,2,9.0705,11635.9587256226,1
1e+05,0.540364980697632,2,10.84329,71149.4251262272,2
1e+06,5.59451627731323,2,22.5064939999999,79729913.5545385,1
1e+07,48.0298643112183,2,20.1730818999998,206529636.991679,1
100,0.0425064563751221,3,6.26,191.244848484848,2
1000,0.0618059635162354,3,7.055,1020.25422922923,1
10000,0.110730886459351,3,10.303,73284.2622172217,2
1e+05,0.367343187332153,3,11.33109,90063.1156605684,2
1e+06,7.49273324012756,3,18.889081,14066049.4817195,1
1e+07,36.6468188762665,3,15.8702349,18149248.4676197,2
100,0.0433816909790039,4,5.42,175.882424242424,2
1000,0.0591986179351807,4,6.386,624.233237237237,2
10000,0.0915589332580566,4,7.514,6682.3098349835,2
1e+05,0.588263273239136,4,13.6251,362304.934859338,2
1e+06,5.3587474822998,4,17.234406,6335102.89017871,1
1e+07,38.5969076156616,4,17.0707221,14429140.481948,2
100,0.042381763458252,5,3.93,67.4394949494949,1
1000,0.0614104270935059,5,5.858,1035.91374974975,1.5
10000,0.0937776565551758,5,12.5469,186534.425642954,1
1e+05,0.371857881546021,5,10.92332,91497.0483306609,1
1e+06,5.13267827033997,5,18.166809,8165250.14553792,1
1e+07,34.1139452457428,5,15.1247141000001,4140078.7702983,2
100,0.0419483184814453,6,3.01,13.9493939393939,1
1000,0.0647373199462891,6,12.892,65191.1354714715,1
10000,0.0909132957458496,6,9.6401,11552.6102330133,1
1e+05,0.861616849899292,6,13.07118,340235.782871236,2
1e+06,3.17335319519043,6,13.432721,625503.335394873,2
1e+07,34.8903801441193,6,16.1214740000001,29843256.5728813,2
100,0.0425553321838379,7,9.66,2547.5802020202,1
1000,0.0628058910369873,7,8.783,7233.76167267267,1
10000,0.0960538387298584,7,9.9509,22273.9926884588,2
1e+05,0.720667123794556,7,15.57298,1201183.07472467,1
1e+06,3.25699782371521,7,14.205196,1711041.13129574,2
1e+07,31.9573364257812,7,14.6234227,4270523.37499542,2
100,0.0427165031433105,8,12.16,1350.98424242424,2
1000,0.0607984066009521,8,6.262,1084.10946546547,2
10000,0.088226318359375,8,8.1701,6928.55302129213,2
1e+05,0.905094385147095,8,25.28062,7457593.40912651,2
1e+06,7.08722257614136,8,31.509818,345613332.837667,2
1e+07,37.5180377960205,8,17.2818503000001,29648600.9163083,2
100,0.0473928451538086,9,6.09,172.042323232323,2
1000,0.0531086921691895,9,10.031,3690.3603993994,2
10000,0.0920009613037109,9,9.179,11710.8352425243,1
1e+05,0.608943700790405,9,14.5447,649155.66203853,2
1e+06,3.62774705886841,9,15.463629,1857105.09368823,2
1e+07,51.1064283847809,9,25.3750329999998,1142090764.90955,1
100,0.0463485717773438,10,23.52,30344.3329292929,1
1000,0.0595297813415527,10,7,1388.91491491492,2
10000,0.085097074508667,10,9.0898,13037.1524512051,2
1e+05,0.40167498588562,10,13.2708,277915.399901359,1
1e+06,5.28866362571716,10,18.204504,24596615.4836634,1
1e+07,33.9875280857086,10,15.8322895,10721655.2441617,1
100,0.0420975685119629,11,7.18,648.452121212121,1
1000,0.0537903308868408,11,6.026,591.522846846847,2
10000,0.0869929790496826,11,8.5893,6528.73669917992,1
1e+05,0.602300882339478,11,12.85886,314921.52801478,1
1e+06,3.40705060958862,11,14.305131,1508829.04052712,2
1e+07,56.1651091575623,11,27.7866829999999,499437018.711522,2
100,0.0427834987640381,12,4.46,87.3014141414141,2
1000,0.063239574432373,12,11.871,51307.3857447447,1
10000,0.120988845825195,12,13.2323,60939.836120322,2
1e+05,1.01070117950439,12,14.64553,780811.909320113,2
1e+06,3.08516788482666,12,12.749798,1029269.30841626,1
1e+07,41.8676717281342,12,17.4667595000001,45884784.5317374,2
100,0.0461893081665039,13,5.19,233.468585858586,1
1000,0.0567617416381836,13,4.706,178.904468468468,2
10000,0.120314121246338,13,20.2386,902078.393709411,1
1e+05,0.464246273040771,13,11.66792,109462.065863532,1
1e+06,5.17694187164307,13,14.732622,3237502.34588937,1
1e+07,49.7672381401062,13,24.2855188999999,246911919.209832,1
100,0.0455470085144043,14,3.51,34.7574747474747,2
1000,0.0585410594940186,14,7.333,1412.04215315315,2
10000,0.388551235198975,14,111.9385,98090167.5340712,1
1e+05,4.91253566741943,14,143.15102,1736068989.86313,2
1e+06,8.11468076705933,14,18.777491,14549582.0072428,2
1e+07,42.2293639183044,14,21.7575149999997,296334666.780073,1
100,0.0452203750610352,15,8.43,489.782929292929,1.5
1000,0.0603129863739014,15,7.189,1378.02930830831,1
10000,0.111474752426147,15,10.0761,46590.808989689,2
1e+05,0.434698104858398,15,15.46208,375539.529517368,1
1e+06,3.20606446266174,15,13.474749,1224044.69394908,1
1e+07,34.9968900680542,15,16.5399714000001,30816634.1097887,2
100,0.0462009906768799,16,4.41,54.9312121212121,1.5
1000,0.0573201179504395,16,5.107,341.745296296296,1
10000,0.111640930175781,16,18.9282,915036.650309791,2
1e+05,0.665836095809937,16,12.99774,298584.207456967,2
1e+06,5.37482070922852,16,20.031058,27429269.4774033,1
1e+07,40.1340284347534,16,20.5902615999999,98317097.5390263,1
100,0.045910120010376,17,3.56,41.8448484848485,1
1000,0.0599231719970703,17,6.28,582.075675675676,1
10000,0.0869662761688232,17,9.8049,13397.3083668267,2
1e+05,0.674845218658447,17,17.87694,2726573.45855082,2
1e+06,4.92622756958008,17,17.979036,31183365.5284282,1
1e+07,37.4921536445618,17,16.8136277,22691248.3753546,2
100,0.0439298152923584,18,6.37,360.700101010101,1
1000,0.0688400268554688,18,12.115,22308.9146896897,1
10000,0.133195161819458,18,20.2135,845407.307048455,1
1e+05,0.988048076629639,18,13.52197,467872.334340663,2
1e+06,5.38528156280518,18,13.955213,2282988.42475956,1
1e+07,33.5750567913055,18,16.6826929000001,42049250.8773168,1
100,0.0420472621917725,19,5.93,243.459696969697,2
