"","eps","n","bins","mise_original_mean","mise_original_min","mise_original_max","mise_perturbed_mean","mise_perturbed_min","mise_perturbed_max"
"1",0.001,100,5,0.180314129453439,0.0836218328560567,0.477789463870512,5.98311449119736,0.237997115500206,22.5098721252374
"2",0.001,100,10,0.19595120869451,0.0472786844300011,0.590823330271534,2.45277989298896,0.746593301853042,7.06852081562307
"3",0.001,100,15,0.192823281907563,0.0421780798748047,0.608475462150605,2.40540454790353,0.77665180269997,7.5127423476454
"4",0.001,100,20,0.363662163001892,0.0476525289842158,1.25560070319844,2.21100977016014,0.789399376662913,6.66947621021458
"5",0.001,100,25,0.476783246100756,0.125126557076155,1.20403156751974,2.09692762297834,1.67126294810653,3.04459007573157
"6",0.001,100,30,0.482514110790815,0.133213603112416,1.86560403389592,2.0917368051269,1.67082921838868,2.77951526997594
"7",0.001,100,35,0.579859314485484,0.160409575437186,1.53852750897285,2.13177455247188,1.70283525262247,2.77846050760607
"8",0.001,100,40,0.837179127055503,0.205060402678628,1.93040989962222,2.20376021097376,1.73929203947927,2.61509156541929
"9",0.001,100,45,0.965637534823185,0.231748687903347,1.99020000945673,2.23686371484253,1.84157921691019,2.89917550540039
"10",0.001,100,50,0.96751087166279,0.333167348050219,2.30866855149929,2.24534712915319,2.0742561295373,2.47566614427501
"11",0.001,1000,5,0.232710137703066,0.0818502236438817,0.25482335989688,9.72533256733173,1.50344442578167,22.5098721252374
"12",0.001,1000,10,0.0687364011977712,0.0229759639472193,0.109717276756402,3.39293699488949,0.330740665260983,12.5099536934727
"13",0.001,1000,15,0.0383770783845851,0.023474256690545,0.0832147779802974,2.37413719709616,0.802694139311828,6.98842068769157
"14",0.001,1000,20,0.0379484506051567,0.0226317280286027,0.127675271662083,2.35812388729133,0.907953905105572,6.44304927836253
"15",0.001,1000,25,0.0476677417068538,0.0134884586944834,0.114253484679188,2.21694764273203,1.02474312179901,6.46018495894212
"16",0.001,1000,30,0.0514766541978835,0.018644232697287,0.100862754374934,2.15965589583239,1.71917657111555,2.85861272279363
"17",0.001,1000,35,0.0507523309629928,0.0170721618949105,0.132150406417017,2.16135893828814,1.69289272956049,2.94867350974202
"18",0.001,1000,40,0.0503735607023013,0.0175302185459383,0.116298445594918,2.16595802536732,1.64597451967038,2.86279705402932
"19",0.001,1000,45,0.062012667396471,0.0189843135606162,0.168247840612336,2.2021670990262,1.75924531165398,2.87630716123088
"20",0.001,1000,50,0.092529980216663,0.0273875996510924,0.220266414427989,2.27613148823097,1.79762078204394,2.53875418527958
"21",0.1,100,5,0.177021528504984,0.0825232443539527,0.55201585848508,2.12089773208987,0.13429904245817,18.8512220033774
"22",0.1,100,10,0.18994394354446,0.0382303354402355,0.782943483442106,1.57984561252433,0.320552875751771,4.66396140194397
"23",0.1,100,15,0.198189727250227,0.0441020090374366,0.923036462380828,1.58247272474876,0.656010745030735,3.93388699786557
"24",0.1,100,20,0.371444270020531,0.048082139286484,1.15116276100527,1.84920062826235,0.677767736964169,4.568536672203
"25",0.1,100,25,0.480640677004668,0.0874868412945896,1.16903074299867,1.9955260028684,1.32504235644214,2.73123298751607
"26",0.1,100,30,0.482707287796955,0.135378424582814,1.53906343790613,1.99838832741876,1.6207468906615,2.61509888967507
"27",0.1,100,35,0.575506841496106,0.13682347507798,1.8150740359874,2.04258108757683,1.62022480418995,2.75396557436188
"28",0.1,100,40,0.839851389308013,0.20126792221895,1.94574047540186,2.15720235142246,1.7022800936013,2.74492273284665
"29",0.1,100,45,0.946828276997703,0.200739596708716,1.7784697985268,2.21657072748278,1.82377819930717,2.44815629893997
"30",0.1,100,50,0.971797863855475,0.37050463983177,1.79184784283362,2.22577295452117,2.08324293708171,2.40686338406812
"31",0.1,1000,5,0.232490812433572,0.0863468410342924,0.246240549182455,2.47800037244765,0.1307275418362,4.15685726426944
"32",0.1,1000,10,0.0687850338232963,0.0236190130889953,0.114487151474412,0.362634734049585,0.0824318002504451,1.06550396439575
"33",0.1,1000,15,0.0377283924722065,0.0230975715358061,0.101985358746951,0.735056510197998,0.572074186214596,1.10019343991126
"34",0.1,1000,20,0.0382023390482752,0.021956441765201,0.0837760666353167,0.734812347247926,0.569160123841007,1.0645581356259
"35",0.1,1000,25,0.0482706221141567,0.0145121946751009,0.112272146275055,1.53965304402498,0.597220736265453,1.92556045453016
"36",0.1,1000,30,0.0508291197855129,0.0148462183891629,0.110892387517808,1.73342978435097,1.57999090848833,1.99751072414467
"37",0.1,1000,35,0.0506906121582969,0.0161463311737625,0.115126619968349,1.73171468098824,1.58669949968779,1.95230210533302
"38",0.1,1000,40,0.0507551510559733,0.0165682661424563,0.135693625774936,1.73206821701608,1.59530372225461,2.06566162110708
"39",0.1,1000,45,0.061495415093551,0.0147792172550858,0.169304852054196,1.83193237584786,1.59451830408871,2.22623057964451
"40",0.1,1000,50,0.0924839614248296,0.0263676624040254,0.177053953693984,2.10254197393008,1.61674519615279,2.26111336476401
